id_matki,pesel_matki,imie,nazwisko,grupa_krwi
1,19751494347,Elżbieta,Wójcik,B Rh+
2,49061226680,Dorota,Kamińska,0 Rh-
3,41160509834,Helena,Woźniak,B Rh-
4,12809476714,Zofia,Kaczmarek,AB Rh+
5,82967242069,Elżbieta,Dąbrowska,B Rh-
6,24701881889,Katarzyna,Wiśniewska,B Rh+
7,20528099065,Magdalena,Piotrowska,B Rh-
8,33964254377,Krystyna,Grabowska,B Rh+
9,04282837176,Elżbieta,Woźniak,AB Rh+
10,07961998641,Helena,Jankowska,0 Rh-
11,07821118440,Janina,Szymańska,AB Rh+
12,51948862931,Zofia,Szymańska,B Rh+
13,73151266212,Marta,Krawczyk,B Rh+
14,43501023312,Teresa,Kaczmarek,A Rh-
15,40740994250,Krystyna,Szymańska,0 Rh-
16,08653628691,Zofia,Kowalczyk,A Rh+
17,32649835529,Jadwiga,Wojciechowska,0 Rh-
18,96418848576,Magdalena,Kwiatkowska,A Rh+
19,87286544394,Marta,Grabowska,B Rh+
20,87864987746,Katarzyna,Wójcik,A Rh+
21,20559472884,Janina,Wojciechowska,B Rh+
22,33773681439,Ewa,Lewandowska,AB Rh+
23,90112800282,Irena,Kowalska,AB Rh+
24,63438352875,Joanna,Szymańska,AB Rh+
25,81752030252,Małgorzata,Kowalska,B Rh+
26,84693142099,Joanna,Zielińska,AB Rh-
27,28612562191,Dorota,Kwiatkowska,0 Rh+
28,21246873320,Irena,Woźniak,A Rh-
29,52232217539,Katarzyna,Wójcik,0 Rh-
30,45305963551,Magdalena,Krawczyk,A Rh-
31,96109345460,Agnieszka,Kwiatkowska,AB Rh+
32,07981011384,Ewa,Grabowska,AB Rh+
33,04514721940,Anna,Krawczyk,AB Rh-
34,94437235354,Beata,Kowalska,AB Rh+
35,92887287945,Katarzyna,Lewandowska,B Rh-
36,35703492718,Krystyna,Nowak,AB Rh+
37,08345471723,Halina,Kaczmarek,AB Rh-
38,51620701252,Monika,Nowak,0 Rh+
39,05033854511,Agnieszka,Nowak,AB Rh+
40,42154720547,Magdalena,Kowalczyk,AB Rh+
41,71842006010,Aleksandra,Kozłowska,0 Rh-
42,55220228700,Małgorzata,Kowalczyk,B Rh+
43,37741049363,Aleksandra,Kamińska,A Rh-
44,28011469044,Marta,Wojciechowska,0 Rh-
45,53971728333,Elżbieta,Wojciechowska,A Rh-
46,45941771528,Krystyna,Kowalczyk,AB Rh-
47,23752327249,Elżbieta,Nowak,0 Rh+
48,92128228100,Barbara,Jankowska,0 Rh+
49,38326384520,Barbara,Mazur,AB Rh-
50,14231293125,Aleksandra,Piotrowska,A Rh-
51,47183355919,Ewa,Zielińska,A Rh+
52,69374310733,Beata,Dąbrowska,0 Rh+
53,37133565146,Anna,Szymańska,AB Rh+
54,78256533970,Ewa,Krawczyk,AB Rh-
55,87617693572,Danuta,Krawczyk,B Rh+
56,37335335458,Elżbieta,Wiśniewska,A Rh-
57,41570138741,Katarzyna,Nowak,AB Rh+
58,81848280677,Beata,Kozłowska,B Rh+
59,93473208401,Danuta,Kwiatkowska,0 Rh-
60,06328608345,Dorota,Nowak,0 Rh-
61,56516766150,Aleksandra,Kaczmarek,A Rh+
62,63954482646,Irena,Kowalczyk,AB Rh+
63,22995968636,Krystyna,Kowalska,AB Rh+
64,85430833864,Barbara,Kowalczyk,A Rh-
65,70119928764,Elżbieta,Kowalska,B Rh-
66,52187524586,Agnieszka,Piotrowska,AB Rh+
67,71071932377,Magdalena,Woźniak,AB Rh-
68,31650363054,Beata,Szymańska,AB Rh+
69,86551872022,Anna,Zielińska,AB Rh+
70,77240139775,Anna,Woźniak,A Rh+
71,54093287715,Zofia,Mazur,0 Rh-
72,69583939588,Krystyna,Wójcik,AB Rh+
73,28857521367,Krystyna,Dąbrowska,B Rh-
74,93018323691,Elżbieta,Szymańska,A Rh-
75,94847847108,Halina,Nowak,0 Rh+
76,51768878286,Joanna,Dąbrowska,A Rh-
77,31359062993,Monika,Kowalczyk,0 Rh+
78,86770973889,Helena,Krawczyk,B Rh+
79,39160323939,Elżbieta,Kowalczyk,B Rh-
80,25035587360,Barbara,Wójcik,A Rh-
81,67972795525,Krystyna,Kowalczyk,B Rh+
82,03997314855,Halina,Kowalczyk,AB Rh-
83,35620784563,Maria,Piotrowska,AB Rh+
84,90493564006,Magdalena,Kowalska,AB Rh+
85,35185989076,Elżbieta,Dąbrowska,0 Rh-
86,55862127305,Elżbieta,Kamińska,B Rh-
87,90812411276,Elżbieta,Lewandowska,A Rh-
88,76510040512,Barbara,Lewandowska,0 Rh+
89,55928680282,Małgorzata,Nowak,AB Rh-
90,32593047423,Katarzyna,Kozłowska,A Rh+
91,14645975652,Agnieszka,Kozłowska,B Rh+
92,25424962888,Janina,Nowak,0 Rh+
93,84554676549,Janina,Wiśniewska,B Rh-
94,79456534035,Marta,Nowak,A Rh-
95,79040470691,Dorota,Kwiatkowska,B Rh-
